nuts_cd,nuts_name,national_capacity_mwp,year,country_cd,capacity_mwp,regional_capacity_percentage,112_percentage,142_percentage,211_percentage,11_percentage,13_percentage,14_percentage,21_percentage,1_percentage,2_percentage,gva_pounds_million_75_percentage,set,predicted_capacity_percentage,predicted_capacity_mwp
UKK13,Gloucestershire,11630.79190706653,2016,UK,234.0432678700217,2.012272850723293,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,2.0526960784313726,train,1.8787918,218.51837174727243
UKK13,Gloucestershire,12445.34457706653,2017,UK,254.6567078700217,2.046200539431319,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.661220043572985,train,1.8627409,231.82452223781107
UKK13,Gloucestershire,12668.58902706653,2018,UK,257.9120978700217,2.035839171347264,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.6630513376717282,train,1.8627409,235.982987890812
UKK13,Gloucestershire,13024.98032544212,2019,UK,261.2071678700217,2.0054323411130013,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.523579201934704,train,1.9768747,257.4875351296802
UKK13,Gloucestershire,13421.966133009471,2020,UK,263.2688978700217,1.9614778882696493,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.3872560545497297,train,1.9206593,257.7902382683903
UKK13,Gloucestershire,13967.18983814418,2021,UK,268.1523478700217,1.9198732957556124,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.5923566878980893,test,1.85459,259.03412561284614
UKK13,Gloucestershire,14995.53681814418,2022,UK,299.89269787002166,1.99987970758846,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.617205735245082,test,1.8488548,277.24571268553603
UKK13,Gloucestershire,16750.745028144178,2023,UK,315.0893978700217,1.881047065910301,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,,test,1.7921354,300.19601062549816
UKK14,Swindon,79.78610239266125,2010,UK,0.200945404118926,0.2518551453108819,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6592501030078286,train,0.84885895,0.6772715027513356
UKK14,Swindon,993.6314671996508,2011,UK,22.437048106178388,2.258085502204622,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6356773937226857,train,1.5219524,15.122597536361287
