country_cd,year,nuts_cd,nuts_name,national_capacity_mwp,capacity_mwp,regional_capacity_percentage,112_percentage,142_percentage,211_percentage,11_percentage,13_percentage,14_percentage,21_percentage,1_percentage,2_percentage,gva_pounds_million_75_percentage,predicted_capacity_percentage,scaled_predicted_capacity_percentage,predicted_capacity_mwp,scaled_predicted_capacity_mwp,predicted_national_capacity_mwp,scaled_predicted_national_capacity_mwp,predicted_national_capacity_percentage,scaled_predicted_national_capacity_percentage,national_residual_mwp,scaled_national_residual_mwp,national_residual_percentage,scaled_national_residual_percentage,residual_percentage,scaled_residual_percentage,residual_mwp,scaled_residual_mwp,country,set
UK,2010,UKM92,Dumfries & Galloway,79.78610239266125,0.0,0.0,0.0189843812374955,0.0099434342050374,0.2366361727970591,0.0193590706341637,0.0021588503081053,0.0099434342050374,0.2366361727970591,0.0541664146459952,1.045464371840921,0.6592501030078286,0.015652703,0.016959518,0.012488682111116292,0.01353133836595882,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.015652703121304512,-0.01695951819419861,-0.012488682111116292,-0.01353133836595882,United Kingdom,train
UK,2010,UKK13,Gloucestershire,79.78610239266125,1.303503779709932,1.6337479092471985,0.0629154438857983,0.0190680509703592,0.5429299690198134,0.0644227051172244,0.0033295266194344,0.0198556729606429,0.5429299690198134,0.1019384770449777,0.8657780280205865,1.6893283889575603,1.7613864,1.9084412,1.4053415225241193,1.522670898172048,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.12763848525353394,-0.27469327670403443,-0.10183774281418723,-0.219167118462116,United Kingdom,train
UK,2010,UKK14,Swindon,79.78610239266125,0.200945404118926,0.2518551453108819,0.0177664433435054,0.0020277697077854,0.0425053532363607,0.0177664433435054,0.000897230486659,0.0032462330954336,0.0425053532363607,0.0281300380250556,0.0644224260380552,0.6592501030078286,0.84885895,0.9197286,0.6772715027513356,0.7338155545664486,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.5970038072113959,-0.6678734318261115,-0.4763260986324096,-0.5328701504475226,United Kingdom,train
UK,2010,UKL22,Cardiff and Vale of Glamorgan,79.78610239266125,0.3441554041189261,0.4313475577804156,0.0355079731003888,0.0046114383651579,0.0367741784166264,0.0365501577879731,0.0018816386378974,0.0077663712362795,0.0367741784166264,0.0580875706524839,0.1232420079088259,0.5356407086938607,0.6122632,0.6633799,0.48850093984814036,0.5292849708503542,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.18091564488682071,-0.2320323498276166,-0.14434553572921427,-0.1851295667314281,United Kingdom,train
UK,2010,UKF14,Nottingham,79.78610239266125,0.3727578367657722,0.4671964484883254,0.0187709831220579,0.0024031715919124,0.0008395254984962,0.0204766967350417,0.0,0.0038343820528485,0.0008395254984962,0.028379683683435,0.0016420238852347,0.3708281829419036,0.2687654,0.2912041,0.21443743662769263,0.2323404040055824,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,0.19843105856904442,0.17599235360154564,0.15832040013807955,0.14041743276018978,United Kingdom,train
UK,2010,UKC14,Durham CC,79.78610239266125,0.4524056735315446,0.5670231531113832,0.0489783258438894,0.0096346955082066,0.2141511028253146,0.049556183315524,0.0037065560520294,0.0110303431998913,0.2141511028253146,0.0726679736009323,0.4985961440565624,0.4120313143798929,0.5579463,0.6045282,0.44516362266848,0.48232947963302625,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,0.009076828762933475,-0.037505035594061154,0.00724205086306462,-0.029923806101481654,United Kingdom,train
UK,2010,UKC21,Northumberland,79.78610239266125,0.3976254041189265,0.4983642416345183,0.0327022990612831,0.0203340902557944,0.508069244721811,0.0332840478227651,0.0032988132096783,0.0205181709388228,0.508069244721811,0.0656468126651266,1.1124424910952255,0.3708281829419036,0.37603298,0.40742725,0.30002204891991774,0.32507033879022657,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,0.1223312633382384,0.09093699029555957,0.09760335519900876,0.07255506532869993,United Kingdom,train
UK,2010,UKF15,North Nottinghamshire,79.78610239266125,0.7574953961856431,0.9494076956631958,0.0468843133636012,0.0088813304700963,0.4272390974888925,0.0475716817759283,0.0051884868994173,0.0104575832029482,0.4272390974888925,0.0751731376574434,0.4744191550890277,0.8240626287597858,1.388016,1.5038989,1.1074438435196174,1.1999022805707271,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.4386082898256958,-0.554491163360852,-0.34994844733397434,-0.442406884385084,United Kingdom,train
UK,2010,UKM65,Orkney Islands,79.78610239266125,0.0,0.0,0.0024094476858817,0.0009183646111476,0.0381273573308703,0.0024094476858817,0.0,0.0009183646111476,0.0381273573308703,0.0048480978904692,0.2323536645538147,0.0824062628759785,0.011066019,0.0119899,0.008829144841089384,0.00956627384297804,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,-0.011066018603742123,-0.011989899910986423,-0.008829144841089384,-0.00956627384297804,United Kingdom,train
UK,2010,UKH23,Hertfordshire,79.78610239266125,2.48120594294416,3.1098222228391275,0.0994480788898918,0.0282301979190742,0.3416140920877831,0.1011580643344115,0.0012829736477959,0.0303522586044587,0.3416140920877831,0.1452564928567474,0.4861633114888352,2.430984754841368,2.269356,2.4588203,1.8106306641068628,1.9617968868089501,73.63818468367828,79.7860977154092,92.2945,99.99999,6.147917708982973,4.67725205055558e-06,7.7054977,7.6293945e-06,0.8404662104947671,0.6510018798215493,0.6705752788372974,0.51940905613521,United Kingdom,train
