mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,mean_test_score,std_test_score,rank_test_score
2.3246780959042637,0.09546437730437482,0.010325713591142134,0.0011147511430955306,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9102622786364204,0.9140496801834501,0.9054604649097454,0.9088144121494584,0.9035938640070823,0.8897053017507097,0.856898459232644,0.8740324496441355,0.85306928891327,0.808728058593756,0.4296401120650799,0.8412958518259774,0.13379927555901772,213
2.9666338617151435,0.24492786015202717,0.011885859749533913,0.006749181660775476,0.01,3,600,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600}",0.9156316083834724,0.9193938303411164,0.91317676900584,0.917266904255897,0.9118693522239179,0.8928746341175198,0.8642478460182355,0.8799015393359002,0.8507689955681247,0.8121384769914053,0.42254764249233956,0.8454379635212518,0.13761704991392854,101
3.592976223338734,0.2934509455981089,0.01128112186085094,0.0022716076425631955,0.01,3,700,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 700}",0.9209582224612545,0.926431840049138,0.9203545291744217,0.9242347370951097,0.9175601662483908,0.8960320163452905,0.8679879994838134,0.8841428382409334,0.8504092406510718,0.816100850478304,0.4135984730118021,0.8488919012035936,0.14177196204964285,52
3.601251081986861,0.151018072319331,0.011404405940662731,0.002557994470234801,0.01,3,800,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 800}",0.9242538643265602,0.9301816253624159,0.9259048100172127,0.9301532454785734,0.9223170932494769,0.9000386436576341,0.8708670911237124,0.8861553670324793,0.8490092085184264,0.8200304809667773,0.4046459085150813,0.8512324852953044,0.14548595607674705,41
4.68882248618386,0.3374484445927101,0.012823885137384588,0.003891351192913982,0.01,3,900,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 900}",0.9270407758320371,0.9323751709261074,0.93013266156138,0.9341025291912819,0.926099814971546,0.9032500509980685,0.8744015818880073,0.8889298767844688,0.8478162072876114,0.8242990911861829,0.39280294907735913,0.8528409736094591,0.1497145215709979,37
5.088958891955289,0.38271932912963663,0.012904709035700018,0.0035116572459223706,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.9273677465732098,0.9343417807882464,0.932843914675654,0.938142776772435,0.9298972683210116,0.9060834745514817,0.8778329837162546,0.8916914349478223,0.8490056835052117,0.8283428532660412,0.38795446395402466,0.8548640346428539,0.1517980712276137,35
2.8425331765955146,0.1608991893591656,0.010063084689053621,0.0007759774783557433,0.01,4,500,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}",0.9336004772819966,0.9396041644645806,0.9271906224802299,0.9353934766763261,0.935363274746581,0.9207376024178832,0.8843803607341509,0.8885470420688854,0.8494941384510858,0.8305643845115765,0.3975064058324407,0.8583983590605215,0.15002410712363498,28
2.9363777203993364,0.18818614679352239,0.011597091501409357,0.0022423808644330243,0.01,4,600,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 600}",0.9359807461929438,0.945209563331461,0.9339356945400898,0.9387270883883366,0.9413026689893365,0.9242792727307726,0.8886849593053757,0.8900194912127944,0.8450741843619787,0.8328484538800626,0.38727468842376134,0.8603033464869921,0.15421128507904353,23
3.3350974212993276,0.09820309445556027,0.011061668395996094,0.001531719509046185,0.01,4,700,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 700}",0.9362930437099934,0.9487133736589322,0.9372544946456722,0.9420091535700519,0.9462267122907386,0.9261145482120704,0.8908078275479703,0.8895981300123574,0.840597714927695,0.8344430225032127,0.3793086129491626,0.8610333303661689,0.15727736709233925,16
4.127042271874168,0.22802339680103395,0.01429349725896662,0.0017013730527869018,0.01,4,800,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 800}",0.9372121319325195,0.9505956548454146,0.9392082290179997,0.9442835875142085,0.9493874162140837,0.9263892873129363,0.8923659681379701,0.889439342065035,0.8356676742245872,0.8357444647984579,0.3710254596184289,0.8610290196074217,0.1601487029371574,17
4.707457889210094,0.266035325365793,0.014588356018066406,0.0038876112472575664,0.01,4,900,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 900}",0.9382146611320615,0.9503058335945692,0.9409673902578982,0.9440061564458292,0.9512189604277127,0.92659693056677,0.8924028023058959,0.8885129410138549,0.8356898781025283,0.837577050914183,0.36271172643910865,0.8607458482909465,0.16261714301201577,19
5.023842681537975,0.23118690082629287,0.012374617836692116,0.0010924319448490575,0.01,4,1000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",0.9385220559645078,0.9508627590097843,0.9425523851192971,0.9437852947268933,0.95196541726163,0.9268873647927517,0.8929694248088842,0.887426943823889,0.8337708562410101,0.8401705071914825,0.35594964416507024,0.8604420593732001,0.16464098471114233,22
2.740955027666959,0.06338949244566065,0.013418912887573242,0.002901811695868272,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.9386348324251645,0.94786875271312,0.9462265267708975,0.9509893935570031,0.9503171831749814,0.9299494823456986,0.8866610990303309,0.8971281511393928,0.8428995706813129,0.8380620329022482,0.40960867207914353,0.8671223360744812,0.15009873073935132,2
